customer_id,customer_name,customer_email,location
1,Customer_1,customer_1@example.com,Phoenix
2,Customer_2,customer_2@example.com,New York
3,Customer_3,customer_3@example.com,Los Angeles
4,Customer_4,customer_4@example.com,Chicago
5,Customer_5,customer_5@example.com,Chicago
6,Customer_6,customer_6@example.com,Phoenix
7,Customer_7,customer_7@example.com,Chicago
8,Customer_8,customer_8@example.com,New York
9,Customer_9,customer_9@example.com,New York
10,Customer_10,customer_10@example.com,Chicago
11,Customer_11,customer_11@example.com,Phoenix
12,Customer_12,customer_12@example.com,Houston
13,Customer_13,customer_13@example.com,Chicago
14,Customer_14,customer_14@example.com,Phoenix
15,Customer_15,customer_15@example.com,Chicago
16,Customer_16,customer_16@example.com,New York
17,Customer_17,customer_17@example.com,Los Angeles
18,Customer_18,customer_18@example.com,Phoenix
19,Customer_19,customer_19@example.com,Los Angeles
20,Customer_20,customer_20@example.com,Chicago
21,Customer_21,customer_21@example.com,New York
22,Customer_22,customer_22@example.com,Los Angeles
23,Customer_23,customer_23@example.com,Houston
24,Customer_24,customer_24@example.com,Houston
25,Customer_25,customer_25@example.com,Houston
26,Customer_26,customer_26@example.com,Los Angeles
27,Customer_27,customer_27@example.com,Phoenix
28,Customer_28,customer_28@example.com,Chicago
29,Customer_29,customer_29@example.com,Houston
30,Customer_30,customer_30@example.com,Houston
31,Customer_31,customer_31@example.com,Chicago
32,Customer_32,customer_32@example.com,Los Angeles
33,Customer_33,customer_33@example.com,Phoenix
34,Customer_34,customer_34@example.com,Phoenix
35,Customer_35,customer_35@example.com,New York
36,Customer_36,customer_36@example.com,Los Angeles
37,Customer_37,customer_37@example.com,Houston
38,Customer_38,customer_38@example.com,Phoenix
39,Customer_39,customer_39@example.com,Houston
40,Customer_40,customer_40@example.com,New York
41,Customer_41,customer_41@example.com,Houston
42,Customer_42,customer_42@example.com,Chicago
43,Customer_43,customer_43@example.com,Los Angeles
44,Customer_44,customer_44@example.com,New York
45,Customer_45,customer_45@example.com,Phoenix
46,Customer_46,customer_46@example.com,New York
47,Customer_47,customer_47@example.com,New York
48,Customer_48,customer_48@example.com,Chicago
49,Customer_49,customer_49@example.com,Houston
50,Customer_50,customer_50@example.com,Phoenix
51,Customer_51,customer_51@example.com,New York
52,Customer_52,customer_52@example.com,Los Angeles
53,Customer_53,customer_53@example.com,Los Angeles
54,Customer_54,customer_54@example.com,Houston
55,Customer_55,customer_55@example.com,New York
56,Customer_56,customer_56@example.com,Chicago
57,Customer_57,customer_57@example.com,New York
58,Customer_58,customer_58@example.com,Los Angeles
59,Customer_59,customer_59@example.com,Houston
60,Customer_60,customer_60@example.com,Chicago
61,Customer_61,customer_61@example.com,New York
62,Customer_62,customer_62@example.com,New York
63,Customer_63,customer_63@example.com,New York
64,Customer_64,customer_64@example.com,Houston
65,Customer_65,customer_65@example.com,Houston
66,Customer_66,customer_66@example.com,New York
67,Customer_67,customer_67@example.com,Chicago
68,Customer_68,customer_68@example.com,Phoenix
69,Customer_69,customer_69@example.com,Los Angeles
70,Customer_70,customer_70@example.com,Houston
71,Customer_71,customer_71@example.com,Los Angeles
72,Customer_72,customer_72@example.com,Chicago
73,Customer_73,customer_73@example.com,Houston
74,Customer_74,customer_74@example.com,Houston
75,Customer_75,customer_75@example.com,Los Angeles
76,Customer_76,customer_76@example.com,Phoenix
77,Customer_77,customer_77@example.com,Houston
78,Customer_78,customer_78@example.com,Houston
79,Customer_79,customer_79@example.com,Phoenix
80,Customer_80,customer_80@example.com,Houston
81,Customer_81,customer_81@example.com,Phoenix
82,Customer_82,customer_82@example.com,Phoenix
83,Customer_83,customer_83@example.com,New York
84,Customer_84,customer_84@example.com,New York
85,Customer_85,customer_85@example.com,Los Angeles
86,Customer_86,customer_86@example.com,Chicago
87,Customer_87,customer_87@example.com,Houston
88,Customer_88,customer_88@example.com,Los Angeles
89,Customer_89,customer_89@example.com,Houston
90,Customer_90,customer_90@example.com,Phoenix
91,Customer_91,customer_91@example.com,Houston
92,Customer_92,customer_92@example.com,Los Angeles
93,Customer_93,customer_93@example.com,Phoenix
94,Customer_94,customer_94@example.com,Houston
95,Customer_95,customer_95@example.com,New York
96,Customer_96,customer_96@example.com,New York
97,Customer_97,customer_97@example.com,Los Angeles
98,Customer_98,customer_98@example.com,Houston
99,Customer_99,customer_99@example.com,Los Angeles
100,Customer_100,customer_100@example.com,Los Angeles
101,Customer_101,customer_101@example.com,Chicago
102,Customer_102,customer_102@example.com,Houston
103,Customer_103,customer_103@example.com,Chicago
104,Customer_104,customer_104@example.com,Houston
105,Customer_105,customer_105@example.com,Phoenix
106,Customer_106,customer_106@example.com,New York
107,Customer_107,customer_107@example.com,Phoenix
108,Customer_108,customer_108@example.com,Los Angeles
109,Customer_109,customer_109@example.com,New York
110,Customer_110,customer_110@example.com,Phoenix
111,Customer_111,customer_111@example.com,Chicago
112,Customer_112,customer_112@example.com,Houston
113,Customer_113,customer_113@example.com,Chicago
114,Customer_114,customer_114@example.com,Phoenix
115,Customer_115,customer_115@example.com,Chicago
116,Customer_116,customer_116@example.com,Houston
117,Customer_117,customer_117@example.com,Phoenix
118,Customer_118,customer_118@example.com,New York
119,Customer_119,customer_119@example.com,Chicago
120,Customer_120,customer_120@example.com,Los Angeles
121,Customer_121,customer_121@example.com,Los Angeles
122,Customer_122,customer_122@example.com,Chicago
123,Customer_123,customer_123@example.com,Chicago
124,Customer_124,customer_124@example.com,Los Angeles
125,Customer_125,customer_125@example.com,Houston
126,Customer_126,customer_126@example.com,Los Angeles
127,Customer_127,customer_127@example.com,New York
128,Customer_128,customer_128@example.com,Houston
129,Customer_129,customer_129@example.com,Los Angeles
130,Customer_130,customer_130@example.com,Chicago
131,Customer_131,customer_131@example.com,Phoenix
132,Customer_132,customer_132@example.com,Los Angeles
133,Customer_133,customer_133@example.com,Chicago
134,Customer_134,customer_134@example.com,Houston
135,Customer_135,customer_135@example.com,Los Angeles
136,Customer_136,customer_136@example.com,New York
137,Customer_137,customer_137@example.com,New York
138,Customer_138,customer_138@example.com,Chicago
139,Customer_139,customer_139@example.com,Chicago
140,Customer_140,customer_140@example.com,Los Angeles
141,Customer_141,customer_141@example.com,Chicago
142,Customer_142,customer_142@example.com,Phoenix
143,Customer_143,customer_143@example.com,Chicago
144,Customer_144,customer_144@example.com,Phoenix
145,Customer_145,customer_145@example.com,Houston
